id,title,company_name,job_url,job_url_direct,location_city,location_state,location_country,location_display,description,company_url,company_url_direct,job_type,compensation_min,compensation_max,compensation_currency,compensation_interval,date_posted,emails,is_remote,listing_type,job_level,company_industry,company_addresses,company_num_employees,company_revenue,company_description,company_logo,banner_photo_url,job_function,skills,experience_range,company_rating,company_reviews_count,vacancy_count,work_from_home_type
li-4283905846,Data Analyst,Crew,https://www.linkedin.com/jobs/view/4283905846,,Hopkins,MN,worldwide,"Hopkins, MN","**Duration:** 
 FTE
   

  

**Location:** 
 MN\-Hopkins, Hybrid 3\-4 days onsite
   

  

**Overview:** 
 Crew helps our clients deliver change through IT project delivery, business process improvement, and operational efficiency efforts. Our high\-performing consultants are natural leaders who manage a wide range of responsibilities that vary from assignment to assignment. Our consultant training programs, investment in career development, and premier client portfolio ensure constant challenge and rapid growth for our employees. Crew data analysis associates bring data insights to life with predictive and descriptive analytics, create meaningful business intelligence and data visualization dashboards, and learn data profiling and cloud data practices.
   

  

**Responsibilities**
* Perform re\-writes of SQL queries from one server to another with a different database, table, and column names
* Perform SQL data governance activities
* Perform peer reviews of SQL tests
* Create Power BI dashboards, reports, and visualizations


**Qualifications**
* 2\-6 years of relevant data experience
* Strong SQL skills, including data governance in SQL (creating/dropping tables, creating/dropping stored procedures)
* Power BI skills
* SSRS/SSIS skills
* Good written and verbal communication skills
* Collaborative/team player approach
* Efficient, makes good use of time
* Sense of urgency and proactive in approach


 The salary range for this role is $85,000 to $125,000 or the hourly equivalent. Pay is based on several factors including but not limited to education, work experience, certifications, etc. In addition to your salary, Turnberry Solutions offers benefits such as, a comprehensive healthcare package (medical, dental, vision), disability and group term life insurance, health and flexible spending accounts, utilization bonus, 401k, flexible time off for salaried employees, and flexible work arrangements (all benefits are subject to eligibility requirements). No matter where or when you begin a career with Turnberry, you’ll find a far\-reaching choice of benefits and incentives.
   

  

*At Turnberry, inclusion is one of our core values. We are committed to creating a positive and connected work environment for all and are fully invested in and focused on hiring and growing a diverse team of high performers. We believe that uniqueness in ideas, experiences, and backgrounds make us a better Turnberry: Turnberry is an Equal Employment Opportunity employer, and recruits, employs, trains, compensates, and promotes regardless of age, ancestry, family medical or genetic information, gender identity and expression, marital, military, or veteran status; national and ethnic origin; physical or mental disability; political affiliation; pregnancy; race; religion; sex; sexual orientation; and any other protected characteristics.*
**Americans With Disabilities Act (ADA)**
*Turnberry will provide reasonable accommodation with our application process upon request as required to comply with applicable laws. If you have a disability and require accommodation assistance in this application process, please send an email to our Human Resources department at* 
*turnberryhr@turnberrysolutions.com* 
*.*",https://www.linkedin.com/company/turnberrycrew,,fulltime,,,,,2025-10-01,turnberryhr@turnberrysolutions.com,False,,entry level,Business Consulting and Services,,,,,https://media.licdn.com/dms/image/v2/D560BAQGv5jziAFxmvg/company-logo_100_100/company-logo_100_100/0/1688155111131/turnberrycrew_logo?e=2147483647&v=beta&t=hF5ZFwiTRbeedAG50uHbfyLsN7I0vtXbiR08m4kh2jY,,Information Technology,,,,,,
li-4288068857,Data Analyst,New York Public Radio,https://www.linkedin.com/jobs/view/4288068857,https://jobs.jobvite.com/newyork-public-radio/job/orR4vfwB?__jvst=Job+Board&__jvsd=LinkedIn&urlHash=g9Vq,New York,NY,worldwide,"New York, NY","**Description**
 Data Analyst
   

  

 New York Public Radio, a premier public media organization, seeks a Data Analyst to help NYPR move from raw data to real understanding, helping shape content strategies, marketing decisions, and audience engagement efforts. This work ensures our teams have the right data, in the right format, at the right time, with tools that empower action.
   

  

 The Data Analyst is a key member of NYPR’s Audience Team, bridging data engineering and analysis to power audience insights across the organization. This person will oversee the collection of data, prepare analysis\-ready datasets, and create Tableau dashboards that inform decision\-making across Programming, News, Membership, Development, Product, and Sponsorship teams.
   

  

 You will have the opportunity to satisfy your curiosity by seeking connections between data created by live listening, on\-demand downloads, engagement with websites and apps and revenue operations. As a result, you’ll be deeply embedded in the day\-to\-day work of cross\-functional teams, helping NYPR understand how listeners engage with our journalism, storytelling, and programming, and where we can create more value, loyalty, and joy.
   

  

 This person will report to the Dir, Audio Product, Analytics \& Architecture.
   

  

 Responsibilities:
   

  

* Create clean, analysis\-ready datasets that support dashboards and reporting for stakeholder teams.
* Build and maintain Tableau dashboards that track KPIs and enable self\-service access to audience and content insights.
* Define and monitor core metrics related to audience engagement, retention and content performance.
* Explore audience behavior and translate findings into clear, actionable insights for internal partners.
* Work collaboratively with partners across the Programming, News, Membership, Development, Audience, and Sponsorship teams to align data tools with strategic goals.
* Document pipeline logic, metric definitions, and data models to promote data literacy and shared understanding.
* Drive a culture of data\-informed decision\-making, balancing rigor, accessibility, and storytelling.


 Qualifications:
   

  

* Demonstrate experience in analytics, data engineering, or a hybrid analytics engineering role.
* Strong SQL skills and experience working with AWS Redshift or other cloud\-based data warehouses.
* Comfortable with Python or another scripting language for automation and transformation tasks.
* Built dashboards in Tableau (or a similar BI tool) and know how to design them for impact and usability.
* Experience working with AWS services like Redshift, Lambda, S3, and managing data pipelines using custom scripts and scheduled queries.
* Strong communicator who can translate complex data into clear insights for technical and non\-technical audiences alike.
* Curious about audience behavior and excited to help a mission\-driven media organization grow its reach and deepen its relationship with listeners.
* Bonus: experience working in media, journalism, or a nonprofit/membership\-driven organization.


 We know there are great candidates who may not fit into what we’ve described above or who have important skills we haven’t thought of. If that’s you, don’t hesitate to apply and tell us about yourself.
   

  

 Additional Information
   

  

 This is a full\-time role with a salary range of $100,000 \- 110,000, annually (plus a full benefits package). Salary offered within this range is determined by skills, experience and organizational pay equity. New York Public Radio also offers comprehensive medical, dental, and vision insurance, along with vacation time, personal days, sick time and parental leave.
   

  

 This role is based in New York City (or the immediate metro area) and operates in a hybrid capacity. This individual is expected to work onsite at WNYC’s Manhattan headquarters at least 2 days a week.
   

  

 Commitment to Diversity, Equity \& Inclusion
   

  

 New York Public Radio is committed to diversity, equity, and inclusion. We continuously strive to place our employees at the center of our thinking and elevate inclusive practices to develop and support a more engaged and productive workforce. Our journalism and operations in the service of that journalism benefit from a broad range of perspectives, from all backgrounds, at all levels of the organization. Diversity is essential to honest, authentic, accurate storytelling and reportage; creating an institution in which all voices are encouraged, valued, and heard.
   

  

 Equal Opportunity
   

  

 New York Public Radio is an equal opportunity employer committed to achieving the goal of equal employment opportunity for all. Applicants and employees are considered and evaluated for positions without regard to mental or physical disability, race, creed, color, religion, gender, national origin, citizenship status, age, genetic information, military or veteran status, sexual orientation, marital status, employment status or any protected federal, state or local status unrelated to the performance of the work involved.",https://www.linkedin.com/company/new-york-public-radio,,fulltime,,,,,2025-10-01,,False,,entry level,Broadcast Media Production and Distribution,,,,,https://media.licdn.com/dms/image/v2/C560BAQHy5WLbEqBz9g/company-logo_100_100/company-logo_100_100/0/1656688577554/new_york_public_radio_logo?e=2147483647&v=beta&t=soIPU3UBMx54Kwg7uFwOKyiC05GgFytR4QPp6DiU6E8,,Information Technology,,,,,,
li-4297647236,Data Analyst,Albert Einstein College of Medicine,https://www.linkedin.com/jobs/view/4297647236,,Bronx,NY,worldwide,"Bronx, NY","A Data Analyst position is available immediately in the department of Neurology at Albert Einstein College of Medicine in NY. The position will support development and growth of the inaugural Division of Brain and Cognitive Health Technology, which will support cutting\-edge research on the development, validation, and dissemination of new technologies for cognitive monitoring, neuropsychological assessment, and risk prediction in neuropsychiatric disorders. This will include work with digital technologies that support scalability, accessibility, and the engagement of diverse communities, as well as applications of multi\-level modeling, machine learning, and/or AI for clinical prediction and estimation of novel
 *dynamic* 
 phenotypes related to brain health and disease risk. The Data Analyst will report to Division Director Laura Germine, who is the creator of the TestMyBrain digital research platform and a PI of the newly funded Open Measurement Network Initiative for AD/ADRD (NIA U24\). The Data Analyst will be responsible for managing datasets related to these projects, as well as organization and management of datasets collected as part of recently completed research studies.
   

  

**Position Responsibilities**
 Such responsibilities will include:
   

  

* Setting up and maintaining databases (e.g., SQL, REDCap) for participant cognitive, clinical, and digital phenotype data, including time series and other longitudinal data
* Defining data standards and supporting data queries from division staff and collaborators
* Building pipelines for data ingestion, quality control, and validation
* Running regular quality assurance checks on datasets as they are collected
* Merging data from different sources and ensuring harmonization
* Working with other statisticians and analysts to ensure datasets are analysis\-ready
* Supporting data use agreements and IRB\-approved data sharing procedures
* Ensure data privacy and security standards are followed and enforced in the appropriate framework for a given dataset (e.g., HIPAA)
* Work with project managers, investigators, and developers to support study protocols
* Develop documentation, including data dictionaries, codebooks, and user guides
* Train staff on data entry and data management best practices
* Support or lead data analysis activities (as appropriate and depending on level of expertise of the applicant), in support of division and project research aims


**Qualifications**
 For this role, we are seeking an enthusiastic and highly\-motivated individual with experience in data analysis and management for large\-scale, multisite clinical research studies. Experience and knowledge of aging, neurodegenerative diseases, and/or neuropsychiatric diseases is desirable.
   

  

 Successful candidates will have a Bachelor’s degree in Mathematics, Statistics, Computer Science, or other relevant discipline and 2\-3 years related experience.
   

  

 The applicant must be familiar with R and SQL. Experience with managing and analyzing time series or other longitudinal data is preferred. A strong work ethic, excellent organizational and communication skills is expected as well as the ability to work in an interdisciplinary environment and projects with many Co\-Investigators across institutions, Willingness to learn new technologies or software environments is required.
   

  

 Minimum Salary Range
   

  

 USD $67,500\.00/Yr.
   

  

 Maximum Salary Range
   

  

 USD $75,000\.00/Yr.",https://www.linkedin.com/school/albert-einstein-college-of-medicine/,,fulltime,,,,,2025-10-01,,False,,entry level,Higher Education,,,,,https://media.licdn.com/dms/image/v2/C4E0BAQEvZg2Mp1mWkQ/company-logo_100_100/company-logo_100_100/0/1631348246611?e=2147483647&v=beta&t=axKkMdLKwpyp65Ahz4VozdDtjdoHyMm8G06N-MR81Hc,,Information Technology,,,,,,
li-4296278493,Data Analyst,OpenLoop,https://www.linkedin.com/jobs/view/4296278493,https://grnh.se/r0nqe8al8us?source=LinkedIn&urlHash=TnJ2,,,worldwide,,"**About the Role** 






 OpenLoop is looking for a
 **Data Analyst** 
 to join our team remotely or at HQ in Des Moines, IA. In this role, you will be responsible for leveraging data to improve patient care, optimizing our platform, and driving key business decisions. You will be responsible for analyzing health\-related data, identifying trends in telemedicine usage, and working closely with cross\-functional teams to optimize telehealth services and improve patient outcomes.
 





**What You'll Do** 




* Gather and clean data from various sources, ensuring data integrity and accuracy.
* Utilize statistical techniques and software (e.g., SQL, Excel, R, Python) to analyze datasets and identify trends, patterns, and anomalies.
* Create detailed reports and visualizations (e.g., dashboards, graphs, charts) to present findings to stakeholders.
* Work closely with cross\-functional teams, including finance, operations and customer success management, to understand their data needs and provide relevant insights.
* Develop and track key performance indicators (KPIs) to measure the success of business initiatives.
* Identify opportunities to improve data collection and analysis processes.
* Other duties as assigned.




**Who You Are** 




* Bachelor’s degree in Data Science, Statistics, Mathematics, Computer Science, or a related field.
* 1\-3 years of experience as a data analyst or in a similar role.
* Proficiency in SQL, Excel, and data visualization tools (e.g., Tableau, Power BI).
* Strong problem\-solving abilities and attention to detail.
* Excellent verbal and written communication skills, with the ability to present complex data insights clearly.
* Ability to work effectively both independently and as part of a team.
* Proficiency in Zoho Analytics strongly preferred.



 Remote Salary Range: $82,000 USD \- $96,000 USD
 



  
 



**About OpenLoop** 



 OpenLoop was co\-founded by CEO, Dr. Jon Lensing, and COO, Christian Williams, with the vision to bring healing anywhere. Our tele\-health support solutions are thoughtfully designed to streamline and simplify go\-to\-market care delivery for companies offering meaningful virtual support to patients across an expansive array of specialties, in all 50 states.
 




  
 



**Our Company Culture** 



 We have a relatively flat organizational structure here at OpenLoop. Everyone is encouraged to bring ideas to the table and make things happen. This fits in well with our core values of Autonomy, Competence and Belonging, as we want everyone to feel empowered and supported to do their best work.
 




  
 



**Our Benefits** 



 In addition, for salaried positions you would also be eligible for:
 



* Medical, Dental, and Vision plans
* Flexible Spending/Health Savings Accounts
* Flexible PTO
* 401(k) \+ Company Match
* Life Insurance, Pet insurance, and more



  
 




 Sound like a good fit? We’d love to meet you.",https://www.linkedin.com/company/openloophealth,,fulltime,,,,,2025-10-01,,True,,entry level,Hospitals and Health Care,,,,,https://media.licdn.com/dms/image/v2/C4E0BAQHWuyy860HXkA/company-logo_100_100-alternative/company-logo_100_100-alternative/0/1630646064065/openloophealth_logo?e=2147483647&v=beta&t=FsvaYJu6CBGCOgfALBetJeecBqJM8OKklOoEUCF1rnI,,Information Technology,,,,,,
li-4308469261,Data Analyst,The Value Maximizer,https://www.linkedin.com/jobs/view/4308469261,,Austin,TX,worldwide,"Austin, TX","**Key Responsibilities**
* Collect, clean, and analyze structured and unstructured datasets from multiple sources (databases, cloud storage, APIs, spreadsheets)
* Design and build dashboards, reports, and visualizations using BI tools (e.g., Looker, Tableau, Power BI, Data Studio)
* Develop and maintain SQL queries, scripts, and pipelines to extract and transform data for analytics use cases
* Perform exploratory data analysis (EDA), descriptive statistics, and trend analysis to identify business patterns and opportunities
* Collaborate with stakeholders across product, business, and engineering teams to translate requirements into data insights
* Support KPI definition, monitoring, and reporting to track business performance
* Ensure data integrity, accuracy, and governance across reports and dashboards
* Recommend improvements in data collection methods, data quality, and reporting automation
* Contribute to predictive and prescriptive analytics initiatives by preparing data and assisting data science teams


****Required Qualifications****
* Bachelor's degree in Data Analytics, Statistics, Computer Science, Engineering, or related field
* 2\-5 years of professional experience in data analytics or business intelligence
* Strong proficiency in SQL for querying and data manipulation
* Experience with data visualization tools (Looker, Tableau, Power BI, or Data Studio)
* Proficiency in Excel / Google Sheets for quick analysis and reporting
* Strong understanding of data modeling, KPIs, and metrics tracking
* Experience with cloud platforms (Google Cloud, AWS, or Azure) is a plus
* Familiarity with Python/R for data analysis preferred
* Excellent problem\-solving, analytical thinking, and communication skills",https://vn.linkedin.com/company/the-value-maximizer,,fulltime,,,,,2025-09-30,,False,,mid-senior level,IT Services and IT Consulting,,,,,https://media.licdn.com/dms/image/v2/C560BAQFQlS1u4mikHQ/company-logo_100_100/company-logo_100_100/0/1679561982486/the_value_maximizer_logo?e=2147483647&v=beta&t=WFle2B8eNGE3ce1__YExhJZmD-S_bp3Yw6zqROG0V0Y,,Other,,,,,,
li-4296233643,Customer Data Analyst,FanDuel,https://www.linkedin.com/jobs/view/4296233643,,New York,NY,worldwide,"New York, NY","**THE POSITION**
 Our roster has an opening with your name on it
   

  

 We are looking for an analyst to join our Advanced Customer Analytics team, working with partners across FanDuel to understand the ""why"" behind customer actions and develop targeted approaches to enhance engagement and loyalty. Your work will bridge the gap between raw data and actionable business recommendations, helping FanDuel understand customer preferences, optimize engagement strategies, and identify new revenue opportunities
   

  

 As a Customer Data Analyst, you will dive deep into customer data to extract meaningful insights that inform strategic initiatives across the organization, working closely with marketing, strategy, and product teams to help drive them to make data\-enabled decisions. The ideal candidate will possess a strong business acumen, exceptional analytical skills, and a passion for using data to drive business growth. This position is based out of New York and has hybrid work\-from\-home flexibility.
   

  

 In addition to the specific responsibilities outlined above, employees may be required to perform other such duties as assigned by the Company. This ensures operational flexibility and allows the Company to meet evolving business needs.
   

  

**THE GAME PLAN**
 Everyone on our team has a part to play
   

  

* Consistently deliver accurate, timely and high\-quality analysis, insights, and recommendations to stakeholders in a way that is easily digestible by non\-technical teams
* Utilize advanced analytics techniques to identify trends, patterns, and insights that inform business decisions and drive business success
* Collaborate with cross\-functional teams, including marketing, strategy, and product, to understand business needs and develop analytics solutions to address them
* Work with data engineering, product, and governance teams to ensure data quality, integration, and accessibility for customer analytics initiatives
* Stay up to date on customer analytics, staying current with industry trends, advancements, and best practices


**THE STATS**
 What we're looking for in our next teammate
   

  

* 3\+ years' experience in an analytics role preferred
* Bachelor's Degree in a highly numerate major (Math, Stats, Econ, etc.) or relevant experience in data and/or business analysis
* Proficiency in SQL and Excel required; intermediate experience with Python preferred
* Expertise in data visualization tools such as Tableau, with a track record of creating impactful dashboards and reports
* Ability to communicate technical insights to non\-technical stakeholders across marketing, product, and commercial / business teams
* Strong problem\-solving skills, allied with track record of transforming data into actionable business insight
* Strong personal organizational and time management skills
* Ability to work in a fast\-paced environment with a lot of ambiguity
* Knowledge of sports betting and online gambling a huge plus


**About Fanduel**
 FanDuel Group is the premier mobile gaming company in the United States and Canada. FanDuel Group consists of a portfolio of leading brands across mobile wagering including: America’s \#1 Sportsbook, FanDuel Sportsbook; its leading iGaming platform, FanDuel Casino; the industry’s unquestioned leader in horse racing and advance\-deposit wagering, FanDuel Racing; and its daily fantasy sports product.
   

  

 In addition, FanDuel Group operates FanDuel TV, its broadly distributed linear cable television network and FanDuel TV\+, its leading direct\-to\-consumer OTT platform. FanDuel Group has a presence across all 50 states, Canada, and Puerto Rico.
   

  

 The company is based in New York with US offices in Los Angeles, Atlanta, and Jersey City, as well as global offices in Canada and Scotland. The company’s affiliates have offices worldwide, including in Ireland, Portugal, Romania, and Australia.
   

  

 FanDuel Group is a subsidiary of Flutter Entertainment, the world's largest sports betting and gaming operator with a portfolio of globally recognized brands and traded on the New York Stock Exchange (NYSE: FLUT).
   

  

**Player Benefits**
 We treat our team right
   

  

 We offer amazing benefits above and beyond the basics. We have an array of health plans to choose from (some as low as $0 per paycheck) that include programs for fertility and family planning, mental health support, and fitness benefits. We offer generous paid time off (PTO \& sick leave), annual bonus and long\-term incentive opportunities (based on performance), 401k with up to a 5% match, commuter benefits, pet insurance, and more \- check out all our benefits here:
 **FanDuel Total Rewards** 
 . \*Benefits differ across location, role, and level.
   

  

 FanDuel is an equal opportunities employer and we believe, as one of our principles states, “We are One Team!”. As such, we are committed to equal employment opportunity regardless of race, color, ethnicity, ancestry, religion, creed, sex, national origin, sexual orientation, age, citizenship status, marital status, disability, gender identity, gender expression, veteran status, or any other characteristic protected by state, local or federal law. We believe FanDuel is strongest and best able to compete if all employees feel valued, respected, and included.
   

  

***The applicable salary range for this position is $106,000 \- $133,000 USD, which is dependent on a variety of factors including relevant experience, location, business needs and market demand. This role may offer the following benefits: medical, vision, and dental insurance; life insurance; disability insurance; a 401(k) matching program; among other employee benefits. This role may also be eligible for short\-term or long\-term incentive compensation, including, but not limited to, cash bonuses and stock program participation. This role includes paid personal time off and 14 paid company holidays. FanDuel offers paid sick time in accordance with all applicable state and federal laws.***
***It is unlawful in Massachusetts to require or administer a lie detector test as a condition of employment or continued employment. An employer who violates this law shall be subject to criminal penalties and civil liability.***",https://www.linkedin.com/company/fanduel,,fulltime,,,,,2025-10-01,,False,,mid-senior level,Gambling Facilities and Casinos and Spectator Sports,,,,,https://media.licdn.com/dms/image/v2/D4E0BAQG5tJC5zBvzgg/company-logo_100_100/B4EZk6aKxbKwAQ-/0/1757621562849/fanduel_logo?e=2147483647&v=beta&t=IGLzzHlCDPe7WXDJNRU2rP6atxknlob6b_Hm2Cumsr8,,Information Technology,,,,,,
li-4305703879,Data Analyst,Jack,https://www.linkedin.com/jobs/view/4305703879,,,,worldwide,,"Join a
 **Series C tech company** 
 on a mission to reinvent regulated finance. They built and operate their own mortgage servicing platform, managing
 **$110B\+ in loans** 
 , proving that modern software can turn a 0% margin business into a 60%\+ margin success. Now, they’re scaling this platform across the industry and beyond — and need a
 **Data Analyst** 
 to help power the next phase of growth.
 



 In this role, you’ll partner with operations and leadership teams to uncover insights, build dashboards, support audits and SLA reporting, and shape how data drives decision\-making at scale.
 



  





**Benefits** 



* **Competitive Compensation:** 
 Base salary of $105,000–$140,000 USD \+ 401(k) plan.
* **Comprehensive Health Coverage:** 
 Medical, dental, and vision insurance to support your physical and mental well\-being.
* **Learning \& Development:** 
 Structured onboarding, professional development opportunities, and regular 360° feedback review cycles.
* **Generous Time Off:** 
 17 days of PTO, additional sick leave, and 11 company holidays.
* **Parental Leave:** 
 12 weeks of fully paid leave for both birthing and non\-birthing parents.



  





**Responsibilities** 



* Develop deep expertise in the company’s data tables across all operational areas.
* Write SQL queries, build dashboards, and perform ad hoc analyses to help leaders understand business performance and identify key drivers of outcomes.
* Support third\-party audits, regulatory reporting, and exam fulfillment by ensuring data accuracy and preparing clear, actionable outputs.
* Maintain and improve SLA reporting processes, ensuring reliability and scalability.
* Collaborate with analysts and data engineers to enhance data models and optimize reporting workflows.



  





**Requirements** 



* Bachelor’s degree in Computer Science, Data Analytics, or a related field.
* 4–7 years of full\-time experience in data analytics, business intelligence, or a similar role (experience in a regulated industry such as mortgage servicing or finance preferred).
* Strong proficiency in SQL (Python skills are a plus).
* Experience with data visualization tools (Looker, Hex, or equivalent).
* High proficiency in Google Sheets and/or Microsoft Excel.
* Proven ability to problem\-solve, work cross\-functionally, and deliver results in a fast\-paced environment.",https://www.linkedin.com/company/searchwithjack,,fulltime,,,,,2025-10-01,,False,,associate,"Technology, Information and Internet, Financial Services, and Technology, Information and Media",,,,,https://media.licdn.com/dms/image/v2/D560BAQFq2_huEqx9EA/company-logo_100_100/company-logo_100_100/0/1710261769137?e=2147483647&v=beta&t=0z0ku8xx4Mry5HrKIbAhiJ-90UFL1_-MqgyVNLZC5ts,,Analyst and Business Development,,,,,,
li-4308465890,Business Data Analyst,The Value Maximizer,https://www.linkedin.com/jobs/view/4308465890,,New York,NY,worldwide,"New York, NY","**BUSINESS DATA ANALYST** 
**Fort Mill, SC or New York City, NY** 
**Role and Responsibilities** 
 :\- The candidate will be a detail\-oriented strategic thinker with a passion for solving complex problems and building consensus. They must possess an unrelenting problem\-solving obsession and a strong desire to make their mark on the organization. They must be as comfortable analyzing and reconciling large amounts of complex data as they are leading high\-level meetings and driving deliverables. This is a global role and will require schedule flexibility to accommodate different time zones.
 **Key Responsibilities:**
* The Business Data Analyst will support tactical and strategic projects that align and advance the vision of the Global Trust Business around optimizing the client, employee and control experience The Business Analyst will also get involved in day\-to\-day ad hoc items that arise and require oversight and leadership. There is a strong emphasis on control and remedial project work
* Developing individual project artifacts as necessary including Business Requirements Documentation (BRD's), Functional Requirements Documentation (FRD's), test planning and scenario documents for user acceptance testing (UAT), project plans as required for all key technical deliveries
* Support data needs of the business, through understanding of data tables in various applications, developing queries targeted to requirements, and interpret data to confirm delivery of what is needed
* Understand Regulatory, CPB and Trust Procedural requirements and translate these into technology and process solutions that are simple, yet effective
* Partner with business leaders to understand their unique needs and processes and how they can be streamlined in a way that enhances controls, create efficiencies and drives business growth
* Partner with all constituents to ensure consistency of solutions across all trust centers
* Support strategic initiatives from problem identification through requirements definition and solution implementation. This includes both long\-term projects as well as daily ad hoc items that arise
* Create key management presentations for various audiences that articulate our strategic initiatives and accomplishments


**Technical skills requirements:**
* Business Data Analysis with Wealth Management experience (10\+ years)
* Strong in AWS and SQL queries and Python. WM Domain knowledge required:
* Prime broker\-dealer business, alternative investments, retirement funds, portfolio management· Experience working with ledger book tools like Beta, and Fund Master would be a plus
* Trade placing and execution on behalf of clients. Tools like Client worksheet balance, which advisors use to execute trades on behalf of the clients· Client portfolio construction, Client portfolio rebalancing as per market conditions, etc",https://vn.linkedin.com/company/the-value-maximizer,,fulltime,,,,,2025-09-30,,False,,mid-senior level,IT Services and IT Consulting,,,,,https://media.licdn.com/dms/image/v2/C560BAQFQlS1u4mikHQ/company-logo_100_100/company-logo_100_100/0/1679561982486/the_value_maximizer_logo?e=2147483647&v=beta&t=WFle2B8eNGE3ce1__YExhJZmD-S_bp3Yw6zqROG0V0Y,,Other,,,,,,
li-4308934505,Junior Data Analyst,Datafied,https://www.linkedin.com/jobs/view/4308934505,,Texas,United States,worldwide,"Texas, United States","We are seeking a detail\-oriented and analytical
 **Junior** 
**Data Analyst** 
 to join our team. This role is responsible for transforming raw data into actionable insights that support strategic decision\-making. The ideal candidate will have a strong foundation in data analysis, reporting, and process improvement, with a high level of proficiency in Microsoft Excel.
   

  

**Requirements**
**Key Responsibilities**
* Analyze data using statistical techniques and deliver clear, actionable reports
* Design, develop, and maintain databases and data collection systems to optimize data quality and efficiency
* Extract and clean data from various sources to ensure accuracy and consistency
* Identify trends, patterns, and correlations in complex datasets to support business initiatives
* Maintain and enhance existing reporting tools and dashboards to ensure continuous data flow and usability
* Collaborate with cross\-functional teams to prioritize information needs and support business objectives
* Document and update standard operating procedures for data\-related tasks and reporting processes
* Proactively identify opportunities for process improvements and automation
* Ensure timely and accurate completion of assigned tasks with a commitment to quality


**Required Qualifications**
* Proficiency in Microsoft Excel (including pivot tables, formulas, and macros)
* Strong analytical and problem\-solving skills
* Experience working with large datasets and multiple data sources
* Ability to communicate findings clearly to both technical and non\-technical stakeholders
* Self\-motivated with a strong sense of ownership and attention to detail


**Remote Work Requirements**
* Hard\-wired ethernet connection
* Safe and secure workspace
* Ability to maintain confidentiality in a remote setting


**Preferred Qualifications**
* Experience with data visualization tools (e.g., Power BI, Tableau)
* Familiarity with SQL or other query languages
* Exposure to Python, R, or other data analysis tools
* Experience working in a fast\-paced or cross\-functional environment
* Experience working with Microsoft SharePoint and the broader Microsoft Office Suite (e.g., Outlook, Teams, Word, PowerPoint)


**Key Competencies**
* Strong attention to detail and accuracy
* Effective communication and collaboration skills
* Ability to manage multiple tasks and meet deadlines
* Analytical mindset with a proactive approach to problem\-solving


**Benefits**
* Collaborative culture with a focus on innovation and continuous learning
* Competitive compensation and benefits package",https://www.linkedin.com/company/datafied-pvt-ltd,,fulltime,,,,,2025-09-30,,True,,associate,IT Services and IT Consulting,,,,,https://media.licdn.com/dms/image/v2/C4D0BAQH2AqZzSav_dg/company-logo_100_100/company-logo_100_100/0/1667904869616/datafied_pvt_ltd_logo?e=2147483647&v=beta&t=fX1dNwTNIcLsrXKv-YSJR7SDc5O1V_j9l4VvvgnNj2U,,Analyst,,,,,,
li-4308943161,Junior Data Analyst,Datafied,https://www.linkedin.com/jobs/view/4308943161,,Anaheim,CA,worldwide,"Anaheim, CA","We are seeking a detail\-oriented and analytical
 **Junior** 
**Data Analyst** 
 to join our team. This role is responsible for transforming raw data into actionable insights that support strategic decision\-making. The ideal candidate will have a strong foundation in data analysis, reporting, and process improvement, with a high level of proficiency in Microsoft Excel.
   

  

**Requirements**
**Key Responsibilities**
* Analyze data using statistical techniques and deliver clear, actionable reports
* Design, develop, and maintain databases and data collection systems to optimize data quality and efficiency
* Extract and clean data from various sources to ensure accuracy and consistency
* Identify trends, patterns, and correlations in complex datasets to support business initiatives
* Maintain and enhance existing reporting tools and dashboards to ensure continuous data flow and usability
* Collaborate with cross\-functional teams to prioritize information needs and support business objectives
* Document and update standard operating procedures for data\-related tasks and reporting processes
* Proactively identify opportunities for process improvements and automation
* Ensure timely and accurate completion of assigned tasks with a commitment to quality


**Required Qualifications**
* Proficiency in Microsoft Excel (including pivot tables, formulas, and macros)
* Strong analytical and problem\-solving skills
* Experience working with large datasets and multiple data sources
* Ability to communicate findings clearly to both technical and non\-technical stakeholders
* Self\-motivated with a strong sense of ownership and attention to detail


**Remote Work Requirements**
* Hard\-wired ethernet connection
* Safe and secure workspace
* Ability to maintain confidentiality in a remote setting


**Preferred Qualifications**
* Experience with data visualization tools (e.g., Power BI, Tableau)
* Familiarity with SQL or other query languages
* Exposure to Python, R, or other data analysis tools
* Experience working in a fast\-paced or cross\-functional environment
* Experience working with Microsoft SharePoint and the broader Microsoft Office Suite (e.g., Outlook, Teams, Word, PowerPoint)


**Key Competencies**
* Strong attention to detail and accuracy
* Effective communication and collaboration skills
* Ability to manage multiple tasks and meet deadlines
* Analytical mindset with a proactive approach to problem\-solving


**Benefits**
* Collaborative culture with a focus on innovation and continuous learning
* Competitive compensation and benefits package",https://www.linkedin.com/company/datafied-pvt-ltd,,fulltime,,,,,2025-10-01,,True,,associate,IT Services and IT Consulting,,,,,https://media.licdn.com/dms/image/v2/C4D0BAQH2AqZzSav_dg/company-logo_100_100/company-logo_100_100/0/1667904869616/datafied_pvt_ltd_logo?e=2147483647&v=beta&t=fX1dNwTNIcLsrXKv-YSJR7SDc5O1V_j9l4VvvgnNj2U,,Analyst,,,,,,
